Accession,Geo_Location,Collection_Date
NC_004718,Spain,2020-03-09
MT292569,Spain,2020-03-09
MT359865,Spain,2020-03-15
MT292575,Spain,2020-03-10
MT292570,Spain,2020-03-10
MT198652,Spain: Valencia,2020-03-05
MT359866,Spain,2020-03-15
MT292571,Spain,2020-03-09
MT292574,Spain,2020-03-02
MT292573,Spain,2020-03-09
MT233522,Spain: Valencia,2020-03-02
MT292572,Spain,2020-03-10
MT233523,Spain: Valencia,2020-03-04
MT233519,Spain: Valencia,2020-02-27
